Country,Year,fertility,life,population,region
Albania,1990,2.97,71.842,3289483,Europe & Central Asia
Albania,1991,2.917,71.799,3291695,Europe & Central Asia
Albania,1992,2.867,71.779,3266983,Europe & Central Asia
Albania,1993,2.819,71.813,3224901,Europe & Central Asia
Albania,1994,2.772,71.92,3179442,Europe & Central Asia
Albania,1995,2.723,72.117,3141102,Europe & Central Asia
Albania,1996,2.67,72.415,3112597,Europe & Central Asia
Albania,1997,2.611,72.796,3091902,Europe & Central Asia
Albania,1998,2.543,73.235,3079037,Europe & Central Asia
Albania,1999,2.467,73.713,3072725,Europe & Central Asia
Albania,2000,2.383,74.2,3071856,Europe & Central Asia
Albania,2001,2.291,74.664,3077378,Europe & Central Asia
Albania,2002,2.195,75.081,3089778,Europe & Central Asia
Albania,2003,2.097,75.437,3106701,Europe & Central Asia
Albania,2004,2.004,75.725,3124861,Europe & Central Asia
Albania,2005,1.919,75.949,3141800,Europe & Central Asia
Albania,2006,1.849,76.124,3156607,Europe & Central Asia
Albania,2007,1.796,76.278,3169665,Europe & Central Asia
Albania,2008,1.761,76.433,3181397,Europe & Central Asia
Albania,2009,1.744,76.598,3192723,Europe & Central Asia
Albania,2010,1.741,76.78,3204284,Europe & Central Asia
Albania,2011,1.748,76.979,3215988,Europe & Central Asia
Albania,2012,1.76,77.185,3227373,Europe & Central Asia
Albania,2013,1.771,77.392,3238316,Europe & Central Asia
Algeria,1964,7.653,47.953,11654905,Middle East & North Africa
Algeria,1965,7.655,48.389,11923002,Middle East & North Africa
Algeria,1966,7.657,48.806,12229853,Middle East & North Africa
Algeria,1967,7.658,49.205,12572629,Middle East & North Africa
Algeria,1968,7.657,49.592,12945462,Middle East & North Africa
Algeria,1969,7.652,49.976,13338918,Middle East & North Africa
Algeria,1970,7.641,50.366,13746185,Middle East & North Africa
Algeria,1971,7.622,50.767,14165889,Middle East & North Africa
Algeria,1972,7.591,51.195,14600659,Middle East & North Africa
Algeria,1973,7.548,51.67,15052371,Middle East & North Africa
Algeria,1974,7.492,52.213,15524137,Middle East & North Africa
Algeria,1975,7.422,52.861,16018195,Middle East & North Africa
Algeria,1976,7.339,53.656,16533323,Middle East & North Africa
Algeria,1977,7.244,54.605,17068212,Middle East & North Africa
Algeria,1978,7.138,55.697,17624756,Middle East & North Africa
Algeria,1979,7.021,56.907,18205468,Middle East & North Africa
Algeria,1980,6.889,58.198,18811199,Middle East & North Africa
Algeria,1981,6.741,59.524,19442423,Middle East & North Africa
Algeria,1982,6.576,60.826,20095648,Middle East & North Africa
Algeria,1983,6.392,62.051,20762767,Middle East & North Africa
Algeria,1984,6.192,63.16,21433070,Middle East & North Africa
Algeria,1985,5.976,64.12,22098298,Middle East & North Africa
Algeria,1986,5.747,64.911,22753511,Middle East & North Africa
Algeria,1987,5.508,65.554,23398470,Middle East & North Africa
Algeria,1988,5.263,66.072,24035237,Middle East & North Africa
Algeria,1989,5.014,66.479,24668100,Middle East & North Africa
Algeria,1990,4.761,66.796,25299182,Middle East & North Africa
Algeria,1991,4.503,67.049,25930560,Middle East & North Africa
Algeria,1992,4.238,67.265,26557969,Middle East & North Africa
Algeria,1993,3.971,67.468,27169903,Middle East & North Africa
Algeria,1994,3.705,67.674,27751086,Middle East & North Africa
Algeria,1995,3.449,67.893,28291591,Middle East & North Africa
Algeria,1996,3.207,68.123,28786855,Middle East & North Africa
Algeria,1997,2.987,68.35,29242917,Middle East & North Africa
Algeria,1998,2.794,68.565,29673694,Middle East & North Africa
Algeria,1999,2.634,68.769,30099010,Middle East & North Africa
Algeria,2000,2.514,68.963,30533827,Middle East & North Africa
Algeria,2001,2.439,69.149,30982214,Middle East & North Africa
Algeria,2002,2.407,69.33,31441848,Middle East & North Africa
Algeria,2003,2.412,69.508,31913462,Middle East & North Africa
Algeria,2004,2.448,69.682,32396048,Middle East & North Africa
Algeria,2005,2.507,69.854,32888449,Middle East & North Africa
Algeria,2006,2.58,70.02,33391954,Middle East & North Africa
Algeria,2007,2.656,70.18,33906605,Middle East & North Africa
Algeria,2008,2.725,70.332,34428028,Middle East & North Africa
Algeria,2009,2.781,70.477,34950168,Middle East & North Africa
Algeria,2010,2.817,70.615,35468208,Middle East & North Africa
Algeria,2011,2.829,70.747,35980193,Middle East & North Africa
Algeria,2012,2.82,70.874,36485828,Middle East & North Africa
Algeria,2013,2.795,71,36983924,Middle East & North Africa
Angola,1964,7.425,34.604,5337063,Sub-Saharan Africa
Angola,1965,7.43,35.007,5431135,Sub-Saharan Africa
Angola,1966,7.422,35.41,5524090,Sub-Saharan Africa
Angola,1967,7.403,35.816,5617242,Sub-Saharan Africa
Angola,1968,7.375,36.222,5713156,Sub-Saharan Africa
Angola,1969,7.339,36.627,5815282,Sub-Saharan Africa
Angola,1970,7.301,37.032,5926333,Sub-Saharan Africa
Angola,1971,7.264,37.439,6047736,Sub-Saharan Africa
Angola,1972,7.232,37.846,6179685,Sub-Saharan Africa
Angola,1973,7.208,38.247,6322194,Sub-Saharan Africa
Angola,1974,7.192,38.635,6474796,Sub-Saharan Africa
Angola,1975,7.185,38.998,6637419,Sub-Saharan Africa
Angola,1976,7.186,39.324,6808850,Sub-Saharan Africa
Angola,1977,7.189,39.605,6989988,Sub-Saharan Africa
Angola,1978,7.194,39.84,7185188,Sub-Saharan Africa
Angola,1979,7.197,40.029,7400231,Sub-Saharan Africa
Angola,1980,7.2,40.182,7638420,Sub-Saharan Africa
Angola,1981,7.201,40.311,7903368,Sub-Saharan Africa
Angola,1982,7.203,40.429,8191774,Sub-Saharan Africa
Angola,1983,7.205,40.547,8491682,Sub-Saharan Africa
Angola,1984,7.207,40.671,8786652,Sub-Saharan Africa
Angola,1985,7.208,40.794,9065562,Sub-Saharan Africa
Angola,1986,7.206,40.902,9322550,Sub-Saharan Africa
Angola,1987,7.202,40.988,9562796,Sub-Saharan Africa
Angola,1988,7.194,41.05,9799680,Sub-Saharan Africa
Angola,1989,7.182,41.1,10052567,Sub-Saharan Africa
Angola,1990,7.165,41.151,10335052,Sub-Saharan Africa
Angola,1991,7.143,41.221,10653515,Sub-Saharan Africa
Angola,1992,7.116,41.329,11002910,Sub-Saharan Africa
Angola,1993,7.087,41.495,11371750,Sub-Saharan Africa
Angola,1994,7.054,41.736,11742960,Sub-Saharan Africa
Angola,1995,7.019,42.073,12105105,Sub-Saharan Africa
Angola,1996,6.984,42.526,12452725,Sub-Saharan Africa
Angola,1997,6.949,43.088,12792237,Sub-Saharan Africa
Angola,1998,6.913,43.742,13138265,Sub-Saharan Africa
Angola,1999,6.878,44.468,13511575,Sub-Saharan Africa
Angola,2000,6.844,45.234,13926373,Sub-Saharan Africa
Angola,2001,6.811,46.004,14388244,Sub-Saharan Africa
Angola,2002,6.778,46.743,14890474,Sub-Saharan Africa
Angola,2003,6.743,47.425,15419943,Sub-Saharan Africa
Angola,2004,6.704,48.036,15957460,Sub-Saharan Africa
Angola,2005,6.657,48.572,16489021,Sub-Saharan Africa
Angola,2006,6.598,49.041,17010366,Sub-Saharan Africa
Angola,2007,6.523,49.471,17525367,Sub-Saharan Africa
Angola,2008,6.434,49.882,18037964,Sub-Saharan Africa
Angola,2009,6.331,50.286,18555115,Sub-Saharan Africa
Angola,2010,6.218,50.689,19081912,Sub-Saharan Africa
Angola,2011,6.099,51.094,19618432,Sub-Saharan Africa
Angola,2012,5.979,51.498,20162517,Sub-Saharan Africa
Angola,2013,5.863,51.899,20714494,Sub-Saharan Africa
Antigua and Barbuda,1964,4.25,63.775,58653,America
Antigua and Barbuda,1965,4.193,64.149,59844,America
Antigua and Barbuda,1966,4.125,64.511,61032,America
Antigua and Barbuda,1967,4.042,64.865,62226,America
Antigua and Barbuda,1968,3.942,65.213,63401,America
Antigua and Barbuda,1969,3.824,65.558,64528,America
Antigua and Barbuda,1970,3.684,65.898,65587,America
Antigua and Barbuda,1971,3.517,66.232,66554,America
Antigua and Barbuda,1972,3.328,66.558,67419,America
Antigua and Barbuda,1973,3.122,66.875,68182,America
Antigua and Barbuda,1974,2.908,67.181,68848,America
Antigua and Barbuda,1975,2.701,67.479,69420,America
Antigua and Barbuda,1976,2.514,67.768,69910,America
Antigua and Barbuda,1977,2.358,68.051,70301,America
Antigua and Barbuda,1978,2.239,68.328,70533,America
Antigua and Barbuda,1979,2.159,68.602,70525,America
Antigua and Barbuda,1980,2.115,68.873,70228,America
Antigua and Barbuda,1981,2.098,69.141,69639,America
Antigua and Barbuda,1982,2.096,69.408,68803,America
Antigua and Barbuda,1983,2.098,69.671,67792,America
Antigua and Barbuda,1984,2.098,69.931,66701,America
Antigua and Barbuda,1985,2.092,70.186,65614,America
Antigua and Barbuda,1986,2.082,70.435,64539,America
Antigua and Barbuda,1987,2.07,70.675,63510,America
Antigua and Barbuda,1988,2.062,70.907,62669,America
Antigua and Barbuda,1989,2.058,71.132,62192,America
Antigua and Barbuda,1990,2.061,71.351,62202,America
Antigua and Barbuda,1991,2.073,71.568,62754,America
Antigua and Barbuda,1992,2.096,71.783,63802,America
Antigua and Barbuda,1993,2.128,72,65238,America
Antigua and Barbuda,1994,2.166,72.219,66895,America
Antigua and Barbuda,1995,2.208,72.441,68642,America
Antigua and Barbuda,1996,2.248,72.664,70450,America
Antigua and Barbuda,1997,2.281,72.888,72322,America
Antigua and Barbuda,1998,2.304,73.11,74190,America
Antigua and Barbuda,1999,2.316,73.329,75985,America
Antigua and Barbuda,2000,2.316,73.544,77656,America
Antigua and Barbuda,2001,2.305,73.755,79165,America
Antigua and Barbuda,2002,2.288,73.96,80507,America
Antigua and Barbuda,2003,2.268,74.16,81716,America
Antigua and Barbuda,2004,2.246,74.355,82838,America
Antigua and Barbuda,2005,2.224,74.544,83916,America
Antigua and Barbuda,2006,2.203,74.729,84952,America
Antigua and Barbuda,2007,2.183,74.91,85935,America
Antigua and Barbuda,2008,2.164,75.087,86881,America
Antigua and Barbuda,2009,2.146,75.263,87802,America
Antigua and Barbuda,2010,2.13,75.437,88710,America
Antigua and Barbuda,2011,2.115,75.61,89612,America
Antigua and Barbuda,2012,2.102,75.783,90510,America
Antigua and Barbuda,2013,2.089,75.954,91404,America
Argentina,1964,3.068,65.388,21966478,America
Argentina,1965,3.058,65.481,22296628,America
Argentina,1966,3.051,65.603,22622012,America
Argentina,1967,3.048,65.759,22944941,America
Argentina,1968,3.049,65.953,23273148,America
Argentina,1969,3.056,66.184,23616971,America
Argentina,1970,3.073,66.449,23983358,America
Argentina,1971,3.104,66.74,24376109,America
Argentina,1972,3.148,67.044,24791983,America
Argentina,1973,3.203,67.349,25222223,America
Argentina,1974,3.264,67.652,25654154,America
Argentina,1975,3.321,67.95,26078731,America
Argentina,1976,3.366,68.248,26492716,America
Argentina,1977,3.391,68.549,26899177,America
Argentina,1978,3.391,68.856,27303001,America
Argentina,1979,3.368,69.164,27711808,America
Argentina,1980,3.325,69.464,28131040,America
Argentina,1981,3.27,69.746,28561561,America
Argentina,1982,3.213,70.004,29001060,America
Argentina,1983,3.163,70.235,29447973,America
Argentina,1984,3.123,70.439,29899743,America
Argentina,1985,3.093,70.624,30354240,America
Argentina,1986,3.073,70.798,30810984,America
Argentina,1987,3.056,70.972,31269799,America
Argentina,1988,3.037,71.156,31729130,America
Argentina,1989,3.016,71.353,32187173,America
Argentina,1990,2.989,71.566,32642442,America
Argentina,1991,2.956,71.791,33093579,America
Argentina,1992,2.918,72.024,33540023,America
Argentina,1993,2.875,72.257,33982035,America
Argentina,1994,2.827,72.489,34420352,America
Argentina,1995,2.774,72.719,34855160,America
Argentina,1996,2.717,72.945,35287113,America
Argentina,1997,2.657,73.169,35714929,America
Argentina,1998,2.596,73.39,36134642,America
Argentina,1999,2.535,73.608,36541029,America
Argentina,2000,2.477,73.822,36930709,America
Argentina,2001,2.424,74.033,37302116,America
Argentina,2002,2.379,74.24,37657340,America
Argentina,2003,2.34,74.444,38001251,America
Argentina,2004,2.31,74.645,38340778,America
Argentina,2005,2.286,74.843,38681174,America
Argentina,2006,2.268,75.036,39023850,America
Argentina,2007,2.254,75.225,39368066,America
Argentina,2008,2.241,75.41,39714298,America
Argentina,2009,2.228,75.592,40062470,America
Argentina,2010,2.215,75.772,40412376,America
Argentina,2011,2.201,75.95,40764561,America
Argentina,2012,2.188,76.128,41118986,America
Argentina,2013,2.175,76.305,41473982,America
Armenia,1964,4.161,67.714,2138133,Europe & Central Asia
Armenia,1965,3.979,68.151,2204650,Europe & Central Asia
Armenia,1966,3.788,68.587,2269475,Europe & Central Asia
Armenia,1967,3.606,69.015,2332624,Europe & Central Asia
Armenia,1968,3.447,69.425,2394635,Europe & Central Asia
Armenia,1969,3.314,69.808,2456370,Europe & Central Asia
Armenia,1970,3.208,70.143,2518408,Europe & Central Asia
Armenia,1971,3.118,70.411,2580894,Europe & Central Asia
Armenia,1972,3.032,70.604,2643464,Europe & Central Asia
Armenia,1973,2.942,70.722,2705584,Europe & Central Asia
Armenia,1974,2.846,70.774,2766495,Europe & Central Asia
Armenia,1975,2.745,70.782,2825650,Europe & Central Asia
Armenia,1976,2.646,70.782,2882831,Europe & Central Asia
Armenia,1977,2.555,70.797,2938181,Europe & Central Asia
Armenia,1978,2.479,70.837,2991954,Europe & Central Asia
Armenia,1979,2.421,70.896,3044564,Europe & Central Asia
Armenia,1980,2.385,70.936,3096298,Europe & Central Asia
Armenia,1981,2.373,70.909,3145885,Europe & Central Asia
Armenia,1982,2.381,70.775,3192877,Europe & Central Asia
Armenia,1983,2.406,70.518,3239212,Europe & Central Asia
Armenia,1984,2.441,70.149,3287588,Europe & Central Asia
Armenia,1985,2.481,69.697,3339147,Europe & Central Asia
Armenia,1986,2.519,69.204,3396511,Europe & Central Asia
Armenia,1987,2.549,68.731,3457054,Europe & Central Asia
Armenia,1988,2.566,68.331,3510439,Europe & Central Asia
Armenia,1989,2.565,68.037,3542720,Europe & Central Asia
Armenia,1990,2.538,67.877,3544695,Europe & Central Asia
Armenia,1991,2.482,67.864,3512051,Europe & Central Asia
Armenia,1992,2.399,67.979,3449940,Europe & Central Asia
Armenia,1993,2.295,68.199,3370373,Europe & Central Asia
Armenia,1994,2.176,68.513,3290540,Europe & Central Asia
Armenia,1995,1.8,68.91,3223173,Europe & Central Asia
Armenia,1996,1.8,69.376,3172185,Europe & Central Asia
Armenia,1997,1.7,69.891,3134836,Europe & Central Asia
Armenia,1998,1.5,70.43,3109101,Europe & Central Asia
Armenia,1999,1.4,70.971,3090624,Europe & Central Asia
Armenia,2000,1.3,71.494,3076098,Europe & Central Asia
Armenia,2001,1.2,71.981,3065810,Europe & Central Asia
Armenia,2002,1.2,72.43,3061067,Europe & Central Asia
Armenia,2003,1.4,72.836,3060554,Europe & Central Asia
Armenia,2004,1.4,73.192,3062612,Europe & Central Asia
Armenia,2005,1.4,73.491,3065954,Europe & Central Asia
Armenia,2006,1.3,73.73,3069844,Europe & Central Asia
Armenia,2007,1.4,73.92,3074181,Europe & Central Asia
Armenia,2008,1.4,74.07,3079087,Europe & Central Asia
Armenia,2009,1.6,74.191,3084979,Europe & Central Asia
Armenia,2010,1.55,74.291,3092072,Europe & Central Asia
Armenia,2011,1.5,74.381,3100236,Europe & Central Asia
Armenia,2012,1.739,74.469,3108972,Europe & Central Asia
Armenia,2013,1.74,74.561,3117722,Europe & Central Asia
Aruba,1964,4.059,67.113,57031,America
Aruba,1965,3.842,67.435,57362,America
Aruba,1966,3.625,67.762,57714,America
Aruba,1967,3.417,68.095,58052,America
Aruba,1968,3.226,68.436,58388,America
Aruba,1969,3.054,68.784,58725,America
Aruba,1970,2.908,69.14,59066,America
Aruba,1971,2.788,69.498,59439,America
Aruba,1972,2.691,69.851,59849,America
Aruba,1973,2.613,70.192,60238,America
Aruba,1974,2.552,70.519,60524,America
Aruba,1975,2.506,70.834,60654,America
Aruba,1976,2.472,71.14,60589,America
Aruba,1977,2.446,71.441,60366,America
Aruba,1978,2.425,71.737,60108,America
Aruba,1979,2.408,72.023,59980,America
Aruba,1980,2.392,72.294,60099,America
Aruba,1981,2.377,72.539,60570,America
Aruba,1982,2.364,72.752,61347,America
Aruba,1983,2.353,72.929,62208,America
Aruba,1984,2.342,73.071,62833,America
Aruba,1985,2.332,73.181,63030,America
Aruba,1986,2.32,73.262,62645,America
Aruba,1987,2.307,73.325,61830,America
Aruba,1988,2.291,73.378,61069,America
Aruba,1989,2.272,73.425,61026,America
Aruba,1990,2.249,73.468,62147,America
Aruba,1991,2.221,73.509,64642,America
Aruba,1992,2.187,73.544,68286,America
Aruba,1993,2.149,73.573,72573,America
Aruba,1994,2.108,73.598,76762,America
Aruba,1995,2.064,73.622,80323,America
Aruba,1996,2.021,73.645,83069,America
Aruba,1997,1.979,73.669,85161,America
Aruba,1998,1.94,73.697,86827,America
Aruba,1999,1.905,73.734,88442,America
Aruba,2000,1.874,73.783,90271,America
Aruba,2001,1.848,73.852,92363,America
Aruba,2002,1.825,73.94,94596,America
Aruba,2003,1.805,74.048,96875,America
Aruba,2004,1.786,74.175,99046,America
Aruba,2005,1.769,74.316,100996,America
Aruba,2006,1.754,74.467,102711,America
Aruba,2007,1.739,74.621,104225,America
Aruba,2008,1.726,74.772,105526,America
Aruba,2009,1.713,74.919,106612,America
Aruba,2010,1.701,75.059,107488,America
Aruba,2011,1.69,75.193,108141,America
Aruba,2012,1.681,75.324,108587,America
Aruba,2013,1.673,75.455,108883,America
Australia,1964,3.154,70.65,11122567,East Asia & Pacific
Australia,1965,2.973,70.98,11359763,East Asia & Pacific
Australia,1966,2.885,70.82,11617580,East Asia & Pacific
Australia,1967,2.847,71.1,11892163,East Asia & Pacific
Australia,1968,2.886,70.73,12175746,East Asia & Pacific
Australia,1969,2.887,71.14,12457299,East Asia & Pacific
Australia,1970,2.859,70.81,12728362,East Asia & Pacific
Australia,1971,2.945,71.41,12987847,East Asia & Pacific
Australia,1972,2.743,71.93,13236895,East Asia & Pacific
Australia,1973,2.491,72.14,13472175,East Asia & Pacific
Australia,1974,2.321,71.89,13690285,East Asia & Pacific
Australia,1975,2.148,72.84,13889696,East Asia & Pacific
Australia,1976,2.06,72.88,14067994,East Asia & Pacific
Australia,1977,2.007,73.49,14227905,East Asia & Pacific
Australia,1978,1.949,73.88,14379565,East Asia & Pacific
Australia,1979,1.907,74.44,14536839,East Asia & Pacific
Australia,1980,1.891,74.6,14709918,East Asia & Pacific
Australia,1981,1.935,74.96,14901610,East Asia & Pacific
Australia,1982,1.929,74.74,15109659,East Asia & Pacific
Australia,1983,1.924,75.55,15332790,East Asia & Pacific
Australia,1984,1.84,76.02,15567927,East Asia & Pacific
Australia,1985,1.923,75.45,15812088,East Asia & Pacific
Australia,1986,1.868,76.13,16066496,East Asia & Pacific
Australia,1987,1.845,76.32,16330369,East Asia & Pacific
Australia,1988,1.831,76.35,16596096,East Asia & Pacific
Australia,1989,1.838,76.45,16853690,East Asia & Pacific
Australia,1990,1.902,77.05,17096153,East Asia & Pacific
Australia,1991,1.849,77.54,17320633,East Asia & Pacific
Australia,1992,1.888,77.54,17529469,East Asia & Pacific
Australia,1993,1.859,78.07,17727413,East Asia & Pacific
Australia,1994,1.842,78.07,17921818,East Asia & Pacific
Australia,1995,1.822,78.45,18118416,East Asia & Pacific
Australia,1996,1.796,78.53,18319637,East Asia & Pacific
Australia,1997,1.778,78.79,18525153,East Asia & Pacific
Australia,1998,1.762,79.28,18734878,East Asia & Pacific
Australia,1999,1.755,79.53,18947894,East Asia & Pacific
Australia,2000,1.756,79.93,19164351,East Asia & Pacific
Australia,2001,1.729,80.27,19382188,East Asia & Pacific
Australia,2002,1.756,80.29,19604051,East Asia & Pacific
Australia,2003,1.748,80.69,19840120,East Asia & Pacific
Australia,2004,1.763,81.04,20103822,East Asia & Pacific
Australia,2005,1.791,81.44,20403520,East Asia & Pacific
Australia,2006,1.817,81.63,20744295,East Asia & Pacific
Australia,2007,1.92,81.67,21119988,East Asia & Pacific
Australia,2008,1.956,81.567,21513817,East Asia & Pacific
Australia,2009,1.903,81.937,21902300,East Asia & Pacific
Australia,2010,1.886,82.091,22268384,East Asia & Pacific
Australia,2011,1.884,82.231,22605732,East Asia & Pacific
Australia,2012,1.887,82.364,22918688,East Asia & Pacific
Australia,2013,1.882,82.496,23213944,East Asia & Pacific
Austria,1964,2.795,70.16,7220812,Europe & Central Asia
Austria,1965,2.703,69.95,7268015,Europe & Central Asia
Austria,1966,2.663,70.26,7312775,Europe & Central Asia
Austria,1967,2.621,70.14,7355039,Europe & Central Asia
Austria,1968,2.586,70.29,7394601,Europe & Central Asia
Austria,1969,2.488,70.06,7431574,Europe & Central Asia
Austria,1970,2.292,70.11,7465908,Europe & Central Asia
Austria,1971,2.2,70.31,7497731,Europe & Central Asia
Austria,1972,2.085,70.63,7526469,Europe & Central Asia
Austria,1973,1.938,71.21,7550638,Europe & Central Asia
Austria,1974,1.908,71.2,7568347,Europe & Central Asia
Austria,1975,1.827,71.33,7578498,Europe & Central Asia
Austria,1976,1.688,71.82,7580564,Europe & Central Asia
Austria,1977,1.631,72.17,7575669,Europe & Central Asia
Austria,1978,1.604,72.25,7566450,Europe & Central Asia
Austria,1979,1.598,72.56,7556551,Europe & Central Asia
Austria,1980,1.652,72.7,7548798,Europe & Central Asia
Austria,1981,1.674,73.02,7544359,Europe & Central Asia
Austria,1982,1.661,73.18,7543194,Europe & Central Asia
Austria,1983,1.559,73.25,7545472,Europe & Central Asia
Austria,1984,1.522,73.79,7550960,Europe & Central Asia
Austria,1985,1.474,74.01,7559621,Europe & Central Asia
Austria,1986,1.449,74.49,7570906,Europe & Central Asia
Austria,1987,1.432,74.93,7585345,Europe & Central Asia
Austria,1988,1.447,75.41,7605095,Europe & Central Asia
Austria,1989,1.446,75.5,7632984,Europe & Central Asia
Austria,1990,1.457,75.77,7670513,Europe & Central Asia
Austria,1991,1.507,75.83,7719577,Europe & Central Asia
Austria,1992,1.505,76.04,7778255,Europe & Central Asia
Austria,1993,1.501,76.27,7839625,Europe & Central Asia
Austria,1994,1.465,76.59,7894229,Europe & Central Asia
Austria,1995,1.424,76.83,7935624,Europe & Central Asia
Austria,1996,1.446,77.1,7960464,Europe & Central Asia
Austria,1997,1.393,77.5,7971553,Europe & Central Asia
Austria,1998,1.37,77.87,7976117,Europe & Central Asia
Austria,1999,1.34,78.05,7984694,Europe & Central Asia
Austria,2000,1.365,78.33,8004712,Europe & Central Asia
Austria,2001,1.33,78.83,8038480,Europe & Central Asia
Austria,2002,1.393,78.96,8083059,Europe & Central Asia
Austria,2003,1.376,78.96,8134235,Europe & Central Asia
Austria,2004,1.419,79.47,8185553,Europe & Central Asia
Austria,2005,1.406,79.64,8232196,Europe & Central Asia
Austria,2006,1.405,80.1,8273208,Europe & Central Asia
Austria,2007,1.379,80.3,8309783,Europe & Central Asia
Austria,2008,1.411,80.51,8341806,Europe & Central Asia
Austria,2009,1.391,80.392,8369639,Europe & Central Asia
Austria,2010,1.438,80.595,8393644,Europe & Central Asia
Austria,2011,1.443,80.785,8413429,Europe & Central Asia
Austria,2012,1.457,80.965,8428915,Europe & Central Asia
Austria,2013,1.471,81.137,8441263,Europe & Central Asia
Azerbaijan,1964,5.468,62.701,4440733,Europe & Central Asia
Azerbaijan,1965,5.352,63.117,4574500,Europe & Central Asia
Azerbaijan,1966,5.21,63.533,4702919,Europe & Central Asia
Azerbaijan,1967,5.056,63.945,4826262,Europe & Central Asia
Azerbaijan,1968,4.901,64.342,4944932,Europe & Central Asia
Azerbaijan,1969,4.753,64.712,5059921,Europe & Central Asia
